Name,pIC50,Training.Test
hCCR2 antagonist (22),4.552841969,Training
hCCR2 antagonist (13),4.522878745,Training
hCCR2 antagonist (24),4.522878745,Training
hCCR2 antagonist (25),4.522878745,Test
hCCR2 antagonist (26),4.522878745,Test
NVP-BKM120,4.522878745,Training
GSK269984A,4.494850022,Training
TRV1 antagonist (2),5.200659451,Training
TRV1 antagonist (8f),5.301029996,Training
TRV1 antagonist (8g),5.899629455,Training
NMDA antagonist (2),4.522878745,Training
NMDA antagonist (5b),4.522878745,Training
HDAC1 inhibitor (14),5.244125144,Training
HDAC1 inhibitor (13),5.167491087,Training
CB2 agonist (12h),6.301029996,Training
NRI (rac-11),6.022276395,Training
"NRI (5l-a, enantiomer 1)",5.283996656,Training
"NRI (8a, enantiomer 1)",5.180456064,Training
"NRI (9c, enantiomer 1)",5,Test
CXCR antagonist (1),4.522878745,Training
Dopamine D3 antagonist (rac-6),6.301029996,Training
Dopamine D3 antagonist (rac-10),6,Training
"CCR2 agonist (21, INCB-3344)",4.886056648,Training
CCR2 agonist (19),4.769551079,Training
CCR2 agonist (15),6,Training
CCR2 agonist (9a),6,Training
S1P receptor agonist (9),5.494850022,Test
S1P receptor agonist (12),5.167491087,Test
S1P receptor agonist (13),4.899629455,Training
S1P receptor agonist (15),4.88941029,Training
S1P receptor agonist (11),4.749579998,Training
S1P receptor agonist (14),4.698970004,Training
INCB9471,5.346787486,Training
Neuronal nicotinic receptor ligand (12b),5.055517328,Training
Neuronal nicotinic receptor ligand (12c),5.744727495,Training
Neuronal nicotinic receptor ligand (12e),4.677780705,Training
Neuronal nicotinic receptor ligand (12f),5.657577319,Training
Neuronal nicotinic receptor ligand (12h),4.920818754,Training
Neuronal nicotinic receptor ligand (12i),4.920818754,Training
Neuronal nicotinic receptor ligand (14a),4.585026652,Test
Neuronal nicotinic receptor ligand (14b),5.27572413,Training
Neuronal nicotinic receptor ligand (14c),5.920818754,Training
Neuronal nicotinic receptor ligand (14e),4.853871964,Training
Neuronal nicotinic receptor ligand (14f),5.721246399,Test
Neuronal nicotinic receptor ligand (14h),5.045757491,Training
Neuronal nicotinic receptor ligand (16a),4.657577319,Training
Neuronal nicotinic receptor ligand (16b),5.886056648,Test
Neuronal nicotinic receptor ligand (16c),6.251811973,Training
Neuronal nicotinic receptor ligand (16e),5.366531544,Training
Neuronal nicotinic receptor ligand (16f),5.732828272,Training
Neuronal nicotinic receptor ligand (16g),4.886056648,Training
Neuronal nicotinic receptor ligand (18a),5,Training
Neuronal nicotinic receptor ligand (18b),5.568636236,Training
Neuronal nicotinic receptor ligand (18c),6.259637311,Training
Neuronal nicotinic receptor ligand (18d),4.337242168,Test
Neuronal nicotinic receptor ligand (18e),4.958607315,Training
Neuronal nicotinic receptor ligand (18f),5.698970004,Training
Neuronal nicotinic receptor ligand (18g),4.494850022,Training
Neuronal nicotinic receptor ligand (18h),5.537602002,Test
Neuronal nicotinic receptor ligand (16d),4.455931956,Training
Neuronal nicotinic receptor ligand (14g),4.292429824,Training
Neuronal nicotinic receptor ligand (12d),4.259637311,Training
Neuronal nicotinic receptor ligand (12g),4.244125144,Training
Neuronal nicotinic receptor ligand (14d),4.187086643,Training
5-HT2C agonist (36),4.657577319,Training
EP3 receptor antagonist (8n),5,Training
Melanocortin-4 receptor agonist (40d),5.101823517,Training
Melanocortin-4 receptor agonist (40i),5.301029996,Training
Melanocortin-4 receptor agonist (40l),5.233587153,Training
Melanocortin-4 receptor agonist (47a),5.177178355,Training
Melanocortin-4 receptor agonist (48f),5.231361899,Training
Melanocortin-4 receptor agonist (49a),5.332547047,Training
Melanocortin-4 receptor agonist (49b),5.294992041,Training
Melanocortin-4 receptor agonist (40a),5,Test
Melanocortin-4 receptor agonist (40c),5,Training
Melanocortin-4 receptor agonist (49c),5,Training
Melanocortin-4 receptor agonist (49f),5,Training
Melanocortin-4 receptor agonist (49h),5,Training
Melanocortin-4 receptor agonist (49i),5,Test
TGR5 receptor agonist (6),4.301029996,Training
TGR5 receptor agonist (7),4.301029996,Training
Antimalarial drug candidate (13),4.301029996,Training
Antimalarial drug candidate (19),4.301029996,Test
Histamine H3 antagonist (6i),3.93930216,Training
Histamine H3 antagonist (6j),4,Training
Histamine H3 antagonist (6l),4.173925197,Test
Histamine H3 antagonist (6m),3.93930216,Training
Histamine H3 antagonist (6n),3.93930216,Training
Histamine H3 antagonist (6o),4.283996656,Training
Histamine H3 antagonist (6e),4.283996656,Training
Histamine H3 antagonist (6h),3.809668302,Training
Protein kinase C inhibitor (8d),6.214670165,Training
Protein kinase C inhibitor (8f),7.602059991,Training
Protein kinase C inhibitor (8h),6.30980392,Test
Protein kinase C inhibitor (8i),7.468521083,Test
Protein kinase C inhibitor (8k),6.070581074,Training
Protein kinase C inhibitor (8l),7.958607315,Training
Protein kinase C inhibitor (8m),6.537602002,Test
E-4031 derivative 38,4.283996656,Training
E-4031 derivative 15,6.679853714,Training
E-4031 derivative 16,6.701146924,Training
E-4031 derivative 17,7.552841969,Training
E-4031 derivative 18,6.991399828,Test
E-4031 derivative 19,6.496209317,Test
E-4031 derivative 20,6.804100348,Training
E-4031 derivative 21,7.124938737,Training
E-4031 derivative 22,7.259637311,Training
E-4031 derivative 23,7.259637311,Training
E-4031 derivative 24,6.477555766,Training
E-4031 derivative 25,7.337242168,Test
E-4031 derivative 26,7.017728767,Training
E-4031 derivative 27,6.809668302,Test
E-4031 derivative 28,7.408935393,Test
E-4031 derivative 29,7.142667504,Training
E-4031 derivative 30,7.431798276,Training
E-4031 derivative 32,6.866461092,Training
E-4031 derivative 33,7.148741651,Test
E-4031 derivative 36,7.698970004,Training
CCR2 antagonist 13a,5.920818754,Training
CCR2 antagonist 13b,5.958607315,Training
CCR2 antagonist 13c,5.022276395,Test
CCR2 antagonist 13d,5.602059991,Training
CCR2 antagonist 13e,6.075720714,Training
CCR2 antagonist 13f,4.468521083,Training
CCR2 antagonist 14g,4.494850022,Training
CCR2 antagonist 14j,4.522878745,Training
CCR2 antagonist 14k,5.346787486,Training
CCR2 antagonist 14l,5.13076828,Training
CCR2 antagonist 14n,4.638272164,Test
CCR2 antagonist 15a,5.721246399,Training
CCR2 antagonist 13g,5.119186408,Training
CCR2 antagonist 13h,5.327902142,Training
CCR2 antagonist 13i,4.920818754,Training
CCR2 antagonist 14o,5.040958608,Training
CCR2 antagonist 15b,5.251811973,Training
CCR2 antagonist 14p,5.119186408,Training
CCR2 antagonist 14q,5.431798276,Training
CCR2 antagonist 14r,5.602059991,Test
CCR2 antagonist 14s,4.698970004,Training
CCR2 antagonist 14t,4.602059991,Training
CCR2 antagonist 14u,5.853871964,Training
CCR2 antagonist 14v,5.387216143,Training
CCR2 antagonist 16c,4.443697499,Training
CCR2 antagonist 16d,4.494850022,Training
CCR2 antagonist 16e,4.568636236,Training
CCR2 antagonist 16f,4.619788758,Training
CCR2 antagonist 16j,4.356547324,Training
CCR2 antagonist 16l,4.508638306,Training
CCR2 antagonist 15c,5.060480747,Test
CCR2 antagonist 14m,4.301029996,Test
CCR2 antagonist 16i,4.301029996,Test
CCR2 antagonist 16m,4.301029996,Training
CCR2 antagonist 16s,4.301029996,Training
CCR2 antagonist 16t,4.301029996,Test
CCR2 antagonist 8c,5.552841969,Training
CCR2 antagonist 8d,5.823908741,Training
CCR2 antagonist 8j,5.602059991,Training
CCR2 antagonist 12c,5.086186148,Training
CCR2 antagonist 12d,5.207608311,Training
CCR2 antagonist 12g,5,Training
CCR2 antagonist 12i,4.356547324,Training
CCR2 antagonist 16a,5.48148606,Training
CCR2 antagonist 21a,5.207608311,Training
CCR2 antagonist 2,5.283996656,Test
CCR2 antagonist 3,4.772113295,Training
CCR2 antagonist 5,4.54668166,Training
CCR2 antagonist 8,4.425968732,Test
CCR2 antagonist 9,4.54515514,Training
CCR2 antagonist 10,4.872895202,Training
CCR2 antagonist 11,4.337242168,Training
CCR2 antagonist 12,4.694648631,Training
CCR2 antagonist 13,4.795880017,Training
CCR2 antagonist 14,4.88941029,Test
CCR2 antagonist 15,5.080921908,Training
CCR2 antagonist 16,5.124938737,Training
CCR2 antagonist 17,5.180456064,Training
CCR2 antagonist 18,5.677780705,Training
CCR2 antagonist 31,4.590066877,Training
CCR2 antagonist 32,4.485452247,Training
CCR2 antagonist 33,4.442492798,Training
CCR2 antagonist 34,4.454692884,Training
CCR2 antagonist 35,4.950781977,Test
CCR2 antagonist 36,4.482804102,Training
CCR2 antagonist 4,4.301029996,Training
CCR2 antagonist 6,4.301029996,Training
CCR2 antagonist 7,4.301029996,Test
CCR2 antagonist 38,4.301029996,Training
Dofetilide derivative (8b),4.244125144,Training
Dofetilide derivative (27),3.93930216,Test
Dofetilide derivative (17b),5.793174124,Training
Dofetilide derivative (19),5,Training
Dofetilide derivative (15b),4,Training
Dofetilide derivative (26),5,Test
Histone deacetylase inhibitor (1),5.419075024,Training
Histone deacetylase inhibitor (2),5.623423043,Training
PF-3893787,5.48945499,Training
Antihistamine 32,4.57024772,Training
Antihistamine 43,4.459670525,Training
Antihistamine 57,4.359518563,Test
Antihistamine 60,4.88941029,Training
VUF11489,5.490797478,Test
Antihistamine 20,5.469800302,Training
Antihistamine 21,6.080921908,Training
Antihistamine 24,5.329754147,Training
Antihistamine 25,5.440093375,Test
Antihistamine 26,5.821023053,Test
Antihistamine 27,5.610833916,Training
Antihistamine 28,5.560667306,Training
Antihistamine 44,4,Training
Antihistamine 58,4,Training
Antihistamine 59,4,Test
Antihistamine 61,4,Training
c-Met kinase inhibitor 9,4.244125144,Test
c-Met kinase inhibitor11,4.096910013,Training
c-Met kinase inhibitor 25,4.045757491,Training
c-Met kinase inhibitor 33,4.173925197,Training
c-Met kinase inhibitor13,6.124938737,Training
c-Met kinase inhibitor 24,4,Test
c-Met kinase inhibitor 27,4,Training
c-Met kinase inhibitor 28,4,Training
c-Met kinase inhibitor 31,4,Training
Dofetilide analogue (31),8.37675071,Training
Dofetilide analogue (32),6.399027104,Training
Dofetilide analogue (33),8.292429824,Training
Dofetilide analogue (34),9.522878745,Training
Dofetilide analogue (36),7.823908741,Training
Dofetilide analogue (37),8.096910013,Training
Dofetilide analogue (38),8.958607315,Training
Dofetilide analogue (39),7.886056648,Test
Dofetilide analogue (40),7.638272164,Training
Dofetilide analogue (41),8.508638306,Training
Dofetilide analogue (42),8.48148606,Training
Dofetilide analogue (43),8.102372909,Training
Dofetilide analogue (44),8.619788758,Training
Dofetilide analogue (45),8.508638306,Training
Dofetilide analogue (50),6.790484985,Training
Dofetilide analogue (52),7.26760624,Test
Dofetilide analogue (19),7.318758763,Training
Dofetilide analogue (54),8.920818754,Training
Dofetilide analogue (55),6.555955204,Training
Dofetilide analogue (56),6.790484985,Test
Dofetilide analogue (57),7,Training
Dofetilide analogue (59),6.935542011,Test
Dofetilide analogue (60),8.508638306,Training
Dofetilide analogue (77),6.694648631,Training
Dofetilide analogue (78),8.292429824,Training
Dofetilide analogue (79),8.744727495,Training
Dofetilide analogue (80),8,Training
Dofetilide analogue (81),8.744727495,Training
NMDA receptor antagonist (14),4.173925197,Training
NMDA receptor antagonist (15),3.494850022,Training
NMDA receptor antagonist (69),6.508638306,Training
NMDA receptor antagonist (57),6.124938737,Test
NMDA receptor antagonist (60),5.698970004,Training
NMDA receptor antagonist (54),4,Training
NMDA receptor antagonist (49),5.335358024,Training
NMDA receptor antagonist (68),7.823908741,Test
Clofilium analogue (6),5.389339837,Training
Clofilium analogue (20),5.106793247,Training
Clofilium analogue (21),5.450996738,Training
Clofilium analogue (22),5.576754126,Training
Clofilium analogue (24),5.459670525,Training
Clofilium analogue (25),5.293282218,Training
Clofilium analogue (26),6.623423043,Training
Clofilium analogue (35),5.35753548,Training
Clofilium analogue (36),5.22184875,Training
Clofilium analogue (38),5.252588192,Training
Clofilium analogue (39),5.723538196,Training
Clofilium analogue (46),4.840733669,Test
Clofilium analogue (52),5.132532512,Training
Clofilium analogue (53),6.078833949,Training
Clofilium analogue (54),5.317854924,Training
Clofilium analogue (55),6.013228266,Training
Clofilium analogue (60),5.978810701,Test
Clofilium analogue (61),6.614393726,Training
Clofilium analogue (73),5.946921557,Training
Clofilium analogue (76),6.754487332,Training
Clofilium analogue (77),5.728158393,Training
Clofilium analogue (78),6.623423043,Training
Clofilium analogue (81),6.295849483,Training
Clofilium analogue (91),5.602059991,Training
Clofilium analogue (92),6.910094889,Training
Clofilium analogue (95),7.236572006,Training
Clofilium analogue (96),6.906578315,Training
TAI-1,5,Test
Hec1/Nek2 inhibitor (32),5,Training
Antimalarial agent (5),4.173925197,Training
Antimalarial agent (7),4.096910013,Training
Antimalarial agent (8),4,Training
Antimalarial agent (13),4,Training
PIM kinase inhibitor (6b),5,Test
PIM kinase inhibitor (9a),5.494850022,Training
PIM kinase inhibitor (9b),4.494850022,Training
PIM kinase inhibitor (9c),6.397940009,Training
NMDA antagonist (29),6.13667714,Training
NMDA antagonist (49),5.8569852,Test
NMDA antagonist (52),5.718966633,Training
NMDA antagonist (56),5.787812396,Training
NMDA antagonist (63),5.619788758,Test
NMDA antagonist (66),6.431798276,Test
NMDA antagonist (67),6.769551079,Training
NMDA antagonist (69),6.886056648,Test
NMDA antagonist (70),7.15490196,Training
NMDA antagonist (72),6.13667714,Training
NMDA antagonist (75),6.366531544,Training
NMDA antagonist (76),6.080921908,Training
NMDA antagonist (77),6.107905397,Training
NMDA antagonist (87),5.920818754,Test
NMDA antagonist (91),5.769551079,Training
MCHR1 antagonist (37),5.207608311,Training
CCR2 (31),5,Training
CCR2 (19),5,Test
CCR2 (28),5,Training
CCR2 (32),5,Training
CCR2 (42),5,Training
CCR2 (47),5,Test
CCR2 (48),5,Training
CCR2 (49),5,Training
TRPM8 inhibitor (5),4.795880017,Test
CCR2 inhibitor (1),5.619788758,Training
CCR2 inhibitor (8j),5.602059991,Training
5-HT2A receptor antagonist (40),5.091514981,Training
5-HT2A receptor antagonist (68),5.886056648,Training
5-HT2A receptor antagonist (70),5.008773924,Test
5-HT2A receptor antagonist (100),5.060480747,Test
5-HT2A receptor antagonist (37),5,Training
S1P1 agonist (1),4,Training
S1P1 agonist (20),4,Training
PI3K inhibitor (19),4,Training
nNOS inhibitor (37),4.48148606,Training
nNOS inhibitor (39),4.787812396,Training
nNOS inhibitor (26),4.408935393,Training
nNOS inhibitor (28),4.638272164,Training
S1P1 agonist (23b),4.522878745,Training
JNJ-10392980,6,Training
Leukotriene A4 hydrolase inhibitor (11k),5.744727495,Training
Leukotriene A4 hydrolase inhibitor (11l),5.568636236,Test
Leukotriene A4 hydrolase inhibitor (27b),5.698970004,Training
Leukotriene A4 hydrolase inhibitor (27e),5.522878745,Training
Leukotriene A4 hydrolase inhibitor (27j),6,Training
Leukotriene A4 hydrolase inhibitor (27l),6.301029996,Training
Leukotriene A4 hydrolase inhibitor (27n),5.045757491,Training
Leukotriene A4 hydrolase inhibitor (27o),5.301029996,Training
Leukotriene A4 hydrolase inhibitor (33j),4.823908741,Training
Leukotriene A4 hydrolase inhibitor (33l),4.619788758,Training
Leukotriene A4 hydrolase inhibitor (33n),4.698970004,Training
Leukotriene A4 hydrolase inhibitor (33o),4.522878745,Training
Leukotriene A4 hydrolase inhibitor (33b),4.522878745,Training
Leukotriene A4 hydrolase inhibitor (33e),4.522878745,Training
Ketohexokinase inhibitor (6),5.089909454,Training
FTase inhibitor (5b),5.142667504,Training
FTase inhibitor (5h),6.356547324,Test
FTase inhibitor (18),5.494850022,Training
FTase inhibitor (19),5.086186148,Training
FTase inhibitor (27),5.236572006,Test
FTase inhibitor (33),4.677780705,Test
FTase inhibitor (34),4.958607315,Training
FTase inhibitor (35),5.107905397,Training
FTase inhibitor (36),4.853871964,Test
FTase inhibitor (39),6.721246399,Training
FTase inhibitor (47),7.619788758,Test
FTase inhibitor (48),6.958607315,Training
FTase inhibitor (49),6.318758763,Training
FTase inhibitor (52),6.721246399,Training
FTase inhibitor (54),5.958607315,Test
FTase inhibitor (30),5,Training
FTase inhibitor (31),4.301029996,Training
FTase inhibitor (32),4.301029996,Test
FTase inhibitor (11),5.327902142,Training
FTase inhibitor (12),4.958607315,Training
FTase inhibitor (16),5.657577319,Training
FTase inhibitor (51),5.356547324,Training
FTase inhibitor (82),5.585026652,Training
FTase inhibitor (83),5.15490196,Training
FTase inhibitor (84),4.920818754,Training
FTase inhibitor (85),6.823908741,Training
FTase inhibitor (86),5.040958608,Training
DPP-4 inhibitor (34),5.091514981,Training
DPP-4 inhibitor (35),4,Training
DPP-4 inhibitor (39),4,Training
DPP-4 inhibitor (40),4.478861916,Training
NK1 receptor antagonist (8),6.522878745,Training
NK1 receptor antagonist (7),5.886056648,Test
NK1 receptor antagonist (13),5.714442691,Training
NK1 receptor antagonist (16),5.903089987,Training
NK1 receptor antagonist (22),5.744727495,Training
NK1 receptor antagonist (20),5.552841969,Test
NK1 receptor antagonist (26),5,Training
CP-122721,5.744727495,Training
NK1 antagonist (1b),6.619788758,Training
NK1 antagonist (1c),6.443697499,Training
NK1 antagonist (1d),5.853871964,Training
NK1 antagonist (4),5.318758763,Training
PDE4 inhibitor (1),5.928117993,Training
PDE4 inhibitor (2a),4.643974143,Test
PDE4 inhibitor (2b),4.602059991,Training
PDE4 inhibitor (2c),4.578396073,Training
PDE4 inhibitor (2e),4.252588192,Training
PDE4 inhibitor (3a),4.233587153,Training
PDE4 inhibitor (3b),4.419075024,Test
PDE4 inhibitor (3c),4.677780705,Training
PDE4 inhibitor (3d),4.408935393,Test
DPP-4 inhibitor (33),4,Training
ORL1 antagonist (2b),7.065501549,Training
ORL1 antagonist (8b),5.568636236,Training
ORL1 antagonist (8c),6.026872146,Training
ORL1 antagonist (8d),5.823908741,Training
ORL1 antagonist (8e),5.638272164,Training
ORL1 antagonist (8f),4.958607315,Training
ORL1 antagonist (8g),4.958607315,Training
ORL1 antagonist (8i),4.698970004,Training
ORL1 antagonist (8k),4.886056648,Training
ORL1 antagonist (8l),4.886056648,Test
ORL1 antagonist (10b),5.318758763,Training
ORL1 antagonist (10j),4.301029996,Training
ORL1 antagonist (10l),4.301029996,Training
HDAC inhibitor (4),4.732828272,Test
HDAC inhibitor (5),5.754487332,Training
HDAC inhibitor (10),4.668572703,Training
HDAC inhibitor (21),5.721246399,Training
HDAC inhibitor (33),4.95939766,Test
HDAC inhibitor (34),5.060480747,Training
HDAC inhibitor (35),5.042392713,Training
HDAC inhibitor (36),5.122628654,Training
HDAC inhibitor (37),5.19859629,Training
HDAC inhibitor (38),4.836838625,Test
HDAC inhibitor (2),4.522878745,Training
Calcium channel blocker (10),6.1837587,Training
Calcium channel blocker (12),5.656000931,Training
Calcium channel blocker (13),6.054039296,Training
Calcium channel blocker (17a),5.744968837,Test
Calcium channel blocker (17b),5.980053318,Test
Calcium channel blocker (17c),5.316682738,Test
Calcium channel blocker (17f),5.434860848,Training
Calcium channel blocker (17g),5.990974258,Training
Calcium channel blocker (19),5.688882157,Training
Calcium channel blocker (20),5.317854924,Training
Calcium channel blocker (21),5.325047052,Training
Calcium channel blocker (25),5.899629455,Training
Calcium channel blocker (23),5,Training
KSP inhibitor 3,4.714442691,Training
KSP inhibitor 4,5.148741651,Training
KSP inhibitor 18,4.798602876,Training
CB1 antagonist (13),6.26760624,Training
CB1 antagonist (3),6.920818754,Training
CB1 antagonist (8a),6.420216403,Test
CB1 antagonist (8b),6.522878745,Training
CB1 antagonist (8c),6.585026652,Training
CB1 antagonist (8e),6.22184875,Test
CB1 antagonist (8f),5.835647144,Test
CB1 antagonist (8h),7.096910013,Training
CB1 antagonist (12c),6,Test
CB1 antagonist (12d),5.920818754,Training
CB1 antagonist (12e),5.27572413,Training
CB1 antagonist (12f),5.060480747,Training
CB1 antagonist (12h),6.420216403,Training
CB1 antagonist (12i),5.958607315,Test
CB1 antagonist (12j),5.795880017,Training
CB1 antagonist (12k),5.698970004,Training
CB1 antagonist (12l),5.337242168,Training
CB1 antagonist (12m),6.200659451,Training
CB1 antagonist (15),4.522878745,Training
CB1 antagonist (12a),4.522878745,Training
CB1 antagonist (12b),4.522878745,Training
CB1 antagonist (12g),4.522878745,Training
CB1 antagonist (12n),4.522878745,Training
Gamma secretase modulator (38),4.35753548,Test
Gamma secretase modulator (39),5.271646218,Test
Gamma secretase modulator (42),4.681936665,Training
Gamma secretase modulator (43),4.681936665,Training
Gamma secretase modulator (45),4.354577731,Training
Gamma secretase modulator (46),5.434152181,Training
Gamma secretase modulator (47),6.060480747,Training
Gamma secretase modulator (48),5.677780705,Training
Gamma secretase modulator (50),6.698970004,Training
Gamma secretase modulator (51),5.261219442,Training
Gamma secretase modulator (53),4.496209317,Training
Gamma secretase modulator (54),4.882728704,Training
Gamma secretase modulator (55),4.659555885,Training
Gamma secretase modulator (56),5.653647026,Training
Gamma secretase modulator (57),5.26760624,Training
Gamma secretase modulator (16),5,Training
Gamma secretase modulator (40),4.522878745,Training
Gamma secretase modulator (41),4.522878745,Test
CETP inhibitor (3e),5.619788758,Training
CETP inhibitor (3g),4.946921557,Training
CETP inhibitor (6c),5.920818754,Test
CETP inhibitor (6e),4.899629455,Training
CETP inhibitor (1a),7.251811973,Test
CETP inhibitor (3a),4.522878745,Test
CETP inhibitor (3c),4.522878745,Training
CETP inhibitor (3i),4.522878745,Test
CETP inhibitor (3k),4.522878745,Test
CETP inhibitor (6a),4.522878745,Training
CETP inhibitor (6b),4.522878745,Training
CETP inhibitor (6d),4.522878745,Test
CETP inhibitor (6f),4.522878745,Training
CETP inhibitor (6g),4.522878745,Training
CETP inhibitor (6h),4.522878745,Training
CETP inhibitor (7f),4.522878745,Training
CGRP antagonist (22),5.060480747,Test
CGRP antagonist (23),5.920818754,Test
CGRP antagonist (24),4.790484985,Test
CGRP antagonist (25),5.096910013,Test
CGRP antagonist (26),5.443697499,Training
CGRP antagonist (29),5.26520017,Training
MK-2918,5.11463878,Training
CGRP antagonist (31),4.698970004,Training
CGRP antagonist (32),5.133122186,Training
CGRP antagonist (33),5.397940009,Training
CGRP antagonist (34),6.096910013,Training
CGRP antagonist (35),5.443697499,Test
CGRP antagonist (27),4.522878745,Training
CGRP antagonist (28),4.522878745,Training
MCH-R1 antagonist (2a),7.619788758,Training
MCH-R1 antagonist (2b),7.638272164,Training
MCH-R1 antagonist (2c),7.602059991,Training
MCH-R1 antagonist (2d),6.283996656,Training
MCH-R1 antagonist (2e),6.27572413,Training
MCH-R1 antagonist (2f),7.769551079,Training
MCH-R1 antagonist (2g),6.508638306,Test
MCH-R1 antagonist (3a),6.602059991,Training
MCH-R1 antagonist (3b),6.853871964,Training
MCH-R1 antagonist (3c),5.747146969,Training
MCH-R1 antagonist (4b),5.435333936,Training
MCH-R1 antagonist (4a),5,Training
NOP/ORL1 receptor antagonist (24),4.721246399,Test
NOP/ORL1 receptor antagonist (25),4.508638306,Training
NOP/ORL1 receptor antagonist (26),4.823908741,Test
NOP/ORL1 receptor antagonist (27),5.004364805,Training
NOP/ORL1 receptor antagonist (28),4.823908741,Training
NOP/ORL1 receptor antagonist (29),4.468521083,Training
NOP/ORL1 receptor antagonist (53),5.494850022,Test
NOP/ORL1 receptor antagonist (54),4.795880017,Test
Neuropeptide Y receptor antagonist (3g),5.886056648,Training
Neuropeptide Y receptor antagonist (3j),5.13076828,Training
Neuropeptide Y receptor antagonist (3f),5,Training
Neuropeptide Y receptor antagonist (3h),5,Training
Neuropeptide Y receptor antagonist (3i),5,Training
Neuropeptide Y receptor antagonist (3e),5,Test
Neuropeptide Y receptor antagonist (1a),6.995678626,Training
Neuropeptide Y receptor antagonist (1b),5.468521083,Training
Neuropeptide Y receptor antagonist (1c),5.761953897,Training
Neuropeptide Y receptor antagonist (1e),6.30980392,Training
Neuropeptide Y receptor antagonist (1f),6.30980392,Test
Neuropeptide Y receptor antagonist (1g),5.214670165,Training
Neuropeptide Y receptor antagonist (3),5.200659451,Training
Neuropeptide Y receptor antagonist (1h),5,Training
Neuropeptide Y receptor antagonist (1i),5,Training
ORL1 antagonist (13),7.638272164,Training
ORL1 antagonist (15),5.537602002,Test
ORL1 antagonist (17),4.638272164,Training
ORL1 antagonist (18),5.568636236,Training
ORL1 antagonist (19),4.795880017,Training
ORL1 antagonist (22),5.045757491,Training
ORL1 antagonist (26),5.920818754,Training
ORL1 antagonist (27),4.522878745,Training
ORL1 antagonist (28),4.537602002,Test
ORL1 antagonist (29),4.677780705,Training
ORL1 antagonist (30),4.638272164,Training
ORL1 antagonist (31),4.387216143,Training
ORL1 antagonist (5a),5.004364805,Training
ORL1 antagonist (7c),5.408935393,Test
ORL1 antagonist (7d),5.823908741,Training
ORL1 antagonist (7f),5.698970004,Training
ORL1 antagonist (7m),5.356547324,Training
ORL1 antagonist (7n),5.200659451,Training
ORL1 antagonist (7o),6.420216403,Test
ORL1 antagonist (7p),5.468521083,Training
ORL1 antagonist (5b),5,Training
ORL1 antagonist (5d),5,Training
ORL1 antagonist (5e),5,Test
ORL1 antagonist (5f),5,Test
ORL1 antagonist (7g),5,Test
ORL1 antagonist (7h),5,Training
ORL1 antagonist (7i),5,Training
ORL1 antagonist (7j),5,Training
ORL1 antagonist (7k),5,Test
ORL1 antagonist (7l),5,Training
ORL1 antagonist (7q),5,Training
KSP inhibitor (2),5.920818754,Training
KSP inhibitor (11),4.835647144,Training
KSP inhibitor (12),4.716698771,Training
PDE4 inhibitor (3),4.301899454,Test
PDE4 inhibitor (13),6.167491087,Training
PDE4 inhibitor (9b),4.145693958,Training
PDE4 inhibitor (9c),4.500312917,Training
PDE4 inhibitor (9e),4.49757288,Training
PDE4 inhibitor (10a),5.15739076,Training
PDE4 inhibitor (10c),5.568636236,Training
PDE4 inhibitor (10d),6.017728767,Training
PDE4 inhibitor (10e),5.048176965,Training
PDE4 inhibitor (10f),4.638272164,Training
PDE4 inhibitor (14),4.730487056,Training
PDE4 inhibitor (15),4.468521083,Training
PDE4 inhibitor (16),4.866461092,Training
PDE4 inhibitor (17),4.436518915,Training
PDE4 inhibitor (18),4.300162274,Training
PDE4 inhibitor (19),4.777283529,Training
PDE4 inhibitor (20),4.18243463,Training
PDE4 inhibitor (21),4.048662481,Training
PDE4 inhibitor (10b),6.13076828,Training
PDE4 inhibitor (9a),4.024568191,Training
Histamine H3 receptro agonist (5a),5.552841969,Training
Histamine H3 receptro agonist (5b),5.769551079,Training
Histamine H3 receptro agonist (5c),5.744727495,Test
Histamine H3 receptro agonist (5d),5.522878745,Training
Histamine H3 receptro agonist (5e),6.769551079,Training
Histamine H3 receptro agonist (5f),6.337242168,Test
Histamine H3 receptro agonist (5g),5.537602002,Training
Histamine H3 receptro agonist (5h),5.251811973,Test
Histamine H3 receptro agonist (5i),5.537602002,Test
Histamine H3 receptro agonist (5k),5.420216403,Training
Histamine H3 receptro agonist (5l),5.366531544,Training
Histamine H3 receptro agonist (5n),5.698970004,Training
Histamine H3 receptro agonist (5o),5.958607315,Training
Histamine H3 receptro agonist (5p),6.455931956,Training
Histamine H3 receptro agonist (5q),5.102372909,Training
Histamine H3 receptro agonist (5j),5,Training
Histamine H3 receptro agonist (5m),5,Training
Histamine H3 receptro agonist (5r),5,Training
NMDA antagonist (11),6.958607315,Training
NMDA antagonist (12),5.017728767,Training
NMDA antagonist (13),6.017728767,Training
NMDA antagonist (16),5.537602002,Training
NMDA antagonist (17),5.638272164,Training
NMDA antagonist (18b),5.37675071,Test
NMDA antagonist (22),5.970616222,Training
NMDA antagonist (20d),5.214670165,Training
NMDA antagonist (20i),5.036212173,Training
NMDA antagonist (20k),5.283996656,Test
NMDA antagonist (20l),5.236572006,Training
NMDA antagonist (20m),5.37675071,Test
NMDA antagonist (20o),5.301029996,Test
NMDA antagonist (27),6.327902142,Test
NMDA antagonist (36),5.508638306,Training
